algorithm_name,env_n,size,best_solution,H,states,time
GA,19,10,"[2, 5, 3, 0, 7, 4, 1, 1, 6, 9]",1,1999,2.149453639984131
random,20,10,"[2, 8, 7, 3, 8, 6, 9, 0, 2, 5]",3,2000,0.031487464904785156
HC,20,10,"[2, 8, 1, 4, 9, 0, 6, 3, 0, 7]",1,6,0.011900901794433594
SA,20,10,"[3, 6, 9, 1, 4, 7, 0, 2, 5, 8]",0,244,0.007338285446166992
GA,20,10,"[2, 4, 1, 7, 9, 3, 6, 8, 5, 0]",1,1999,2.1629183292388916
random,21,10,"[0, 5, 3, 6, 9, 4, 1, 5, 8, 2]",3,2000,0.02813124656677246
HC,21,10,"[6, 9, 2, 5, 7, 0, 3, 0, 4, 8]",1,7,0.013885974884033203
SA,21,10,"[7, 9, 4, 1, 5, 0, 2, 6, 8, 3]",0,1010,0.028775691986083984
GA,21,10,"[1, 6, 0, 2, 7, 5, 3, 9, 4, 4]",1,1999,2.171142578125
random,22,10,"[4, 1, 9, 5, 2, 0, 3, 8, 7, 5]",2,2000,0.032242536544799805
HC,22,10,"[8, 6, 1, 3, 5, 0, 9, 4, 2, 7]",0,6,0.010168075561523438
SA,22,10,"[2, 7, 5, 0, 8, 1, 4, 6, 3, 9]",0,1082,0.03002190589904785
GA,22,10,"[6, 4, 2, 0, 8, 3, 7, 9, 1, 5]",0,706,0.7660658359527588
random,23,10,"[7, 4, 4, 0, 9, 3, 5, 7, 2, 0]",3,2000,0.0325169563293457
HC,23,10,"[6, 1, 3, 5, 8, 4, 9, 0, 2, 7]",0,6,0.010894060134887695
SA,23,10,"[2, 9, 5, 3, 0, 4, 7, 1, 6, 8]",1,2000,0.054662466049194336
GA,23,10,"[4, 0, 5, 8, 1, 7, 2, 3, 6, 9]",1,1999,2.255091905593872
random,24,10,"[3, 6, 9, 5, 1, 4, 0, 8, 0, 9]",3,2000,0.032732248306274414
HC,24,10,"[1, 4, 6, 1, 3, 7, 0, 2, 8, 5]",1,5,0.010567903518676758
SA,24,10,"[6, 4, 9, 1, 3, 7, 2, 8, 5, 0]",0,500,0.01645493507385254
GA,24,10,"[0, 2, 5, 8, 6, 9, 3, 1, 7, 4]",0,256,0.29045891761779785
random,25,10,"[1, 5, 8, 5, 3, 0, 6, 4, 2, 7]",2,2000,0.0484619140625
HC,25,10,"[3, 6, 0, 9, 0, 4, 8, 1, 5, 2]",1,5,0.009155511856079102
SA,25,10,"[9, 5, 3, 8, 4, 7, 1, 6, 2, 5]",1,2000,0.056569576263427734
GA,25,10,"[5, 3, 8, 4, 7, 9, 0, 6, 1, 7]",1,1999,2.287461996078491
random,26,10,"[0, 6, 4, 9, 1, 3, 8, 8, 3, 5]",4,2000,0.035009145736694336
HC,26,10,"[7, 0, 6, 9, 2, 4, 8, 3, 5, 1]",2,5,0.010034799575805664
SA,26,10,"[1, 4, 0, 8, 3, 7, 2, 2, 5, 9]",1,2000,0.056925296783447266
GA,26,10,"[8, 3, 0, 4, 7, 9, 6, 2, 5, 1]",0,54,0.06970024108886719
random,27,10,"[3, 5, 8, 2, 7, 7, 4, 6, 1, 9]",4,2000,0.029996871948242188
HC,27,10,"[5, 9, 1, 6, 4, 3, 0, 8, 4, 2]",2,5,0.026735305786132812
SA,27,10,"[9, 0, 5, 1, 6, 0, 2, 4, 8, 3]",1,2000,0.10326123237609863
GA,27,10,"[5, 9, 4, 0, 8, 3, 1, 7, 7, 2]",1,1999,2.1395273208618164
random,28,10,"[1, 9, 1, 2, 7, 9, 3, 0, 8, 4]",3,2000,0.0292356014251709
HC,28,10,"[8, 5, 1, 4, 0, 7, 9, 2, 6, 9]",1,5,0.01036691665649414
SA,28,10,"[5, 2, 4, 1, 7, 9, 6, 3, 0, 8]",0,354,0.01090693473815918
GA,28,10,"[3, 1, 8, 4, 0, 7, 5, 2, 9, 6]",1,1999,2.1669020652770996
random,29,10,"[5, 8, 4, 9, 7, 3, 1, 3, 0, 9]",3,2000,0.030351638793945312
HC,29,10,"[8, 3, 1, 9, 7, 5, 0, 2, 6, 4]",1,5,0.011603593826293945
SA,29,10,"[3, 9, 0, 8, 5, 2, 6, 1, 7, 4]",0,925,0.023407459259033203
GA,29,10,"[9, 0, 3, 8, 4, 8, 1, 5, 2, 6]",1,1999,2.1981704235076904
