Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
1,1,100,0.92,1,912,48,47,0.0013365745544433594,"[(85, 80), (85, 81), (86, 81), (86, 82), (87, 82), (87, 83), (87, 84), (87, 85), (87, 86), (87, 87), (87, 88), (87, 89), (87, 90), (87, 91), (88, 91), (89, 91), (89, 92), (89, 93), (89, 94), (89, 95), (89, 96), (90, 96), (90, 97), (90, 98), (90, 99), (89, 99), (88, 99), (88, 98), (88, 97), (87, 97), (87, 96), (86, 96), (86, 95), (86, 94), (86, 93), (86, 92), (85, 92), (85, 91), (85, 90), (85, 89), (85, 88), (85, 87), (85, 86), (85, 85), (85, 84), (85, 83), (84, 83), (83, 83)]"
1,2,100,0.92,1,912,48,155,0.002504587173461914,"[(85, 80), (85, 81), (86, 81), (86, 82), (87, 82), (87, 83), (87, 84), (87, 85), (87, 86), (87, 87), (87, 88), (87, 89), (87, 90), (87, 91), (88, 91), (89, 91), (89, 92), (89, 93), (89, 94), (89, 95), (89, 96), (90, 96), (90, 97), (90, 98), (90, 99), (89, 99), (88, 99), (88, 98), (88, 97), (87, 97), (87, 96), (86, 96), (86, 95), (86, 94), (86, 93), (86, 92), (85, 92), (85, 91), (85, 90), (85, 89), (85, 88), (85, 87), (85, 86), (85, 85), (85, 84), (85, 83), (84, 83), (83, 83)]"
2,1,100,0.92,0,1337,0,0,0.0020983219146728516,[]
2,2,100,0.92,0,1337,0,0,0.002038717269897461,[]
3,1,100,0.92,0,1728,0,0,0.0024297237396240234,[]
3,2,100,0.92,0,1728,0,0,0.003167867660522461,[]
4,1,100,0.92,0,1194,0,0,0.0016949176788330078,[]
4,2,100,0.92,0,1194,0,0,0.0017743110656738281,[]
5,1,100,0.92,0,1710,0,0,0.0024199485778808594,[]
5,2,100,0.92,0,1710,0,0,0.0024309158325195312,[]
6,1,100,0.92,0,1063,0,0,0.0014929771423339844,[]
6,2,100,0.92,0,1063,0,0,0.0015368461608886719,[]
7,1,100,0.92,0,1508,0,0,0.002354145050048828,[]
7,2,100,0.92,0,1508,0,0,0.0038297176361083984,[]
8,1,100,0.92,0,2249,0,0,0.0038878917694091797,[]
8,2,100,0.92,0,2249,0,0,0.005784034729003906,[]
9,1,100,0.92,0,2301,0,0,0.004091501235961914,[]
9,2,100,0.92,0,2301,0,0,0.00501704216003418,[]
10,1,100,0.92,0,1064,0,0,0.0014925003051757812,[]
10,2,100,0.92,0,1064,0,0,0.0017936229705810547,[]
11,1,100,0.92,0,2260,0,0,0.003246784210205078,[]
