Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
6,1,100,0.92,1,4017,52,51,0.011338949203491211,"[(40, 76), (40, 75), (41, 75), (42, 75), (43, 75), (44, 75), (45, 75), (46, 75), (47, 75), (48, 75), (49, 75), (50, 75), (51, 75), (52, 75), (53, 75), (54, 75), (55, 75), (56, 75), (57, 75), (58, 75), (59, 75), (60, 75), (61, 75), (62, 75), (63, 75), (63, 74), (64, 74), (65, 74), (66, 74), (67, 74), (68, 74), (69, 74), (70, 74), (71, 74), (72, 74), (73, 74), (74, 74), (75, 74), (76, 74), (77, 74), (77, 73), (78, 73), (79, 73), (80, 73), (81, 73), (82, 73), (83, 73), (84, 73), (85, 73), (86, 73), (87, 73), (88, 73)]"
6,2,100,0.92,1,7883,52,483,0.02771782875061035,"[(40, 76), (40, 75), (41, 75), (42, 75), (43, 75), (44, 75), (45, 75), (46, 75), (47, 75), (48, 75), (49, 75), (50, 75), (51, 75), (52, 75), (53, 75), (54, 75), (55, 75), (56, 75), (57, 75), (58, 75), (59, 75), (60, 75), (61, 75), (62, 75), (63, 75), (63, 74), (64, 74), (65, 74), (66, 74), (67, 74), (68, 74), (69, 74), (70, 74), (71, 74), (72, 74), (73, 74), (74, 74), (75, 74), (76, 74), (77, 74), (77, 73), (78, 73), (79, 73), (80, 73), (81, 73), (82, 73), (83, 73), (84, 73), (85, 73), (86, 73), (87, 73), (88, 73)]"
7,1,100,0.92,1,8331,114,113,0.024047374725341797,"[(76, 79), (75, 79), (74, 79), (73, 79), (72, 79), (71, 79), (70, 79), (69, 79), (68, 79), (67, 79), (66, 79), (65, 79), (64, 79), (63, 79), (62, 79), (61, 79), (60, 79), (59, 79), (58, 79), (57, 79), (56, 79), (55, 79), (54, 79), (53, 79), (52, 79), (51, 79), (50, 79), (49, 79), (48, 79), (48, 78), (47, 78), (46, 78), (45, 78), (44, 78), (43, 78), (42, 78), (41, 78), (40, 78), (39, 78), (38, 78), (37, 78), (36, 78), (35, 78), (34, 78), (33, 78), (32, 78), (32, 77), (31, 77), (30, 77), (29, 77), (28, 77), (27, 77), (26, 77), (25, 77), (24, 77), (23, 77), (22, 77), (21, 77), (20, 77), (19, 77), (18, 77), (17, 77), (16, 77), (15, 77), (14, 77), (13, 77), (13, 76), (13, 75), (13, 74), (13, 73), (13, 72), (13, 71), (13, 70), (13, 69), (13, 68), (13, 67), (13, 66), (13, 65), (13, 64), (13, 63), (13, 62), (12, 62), (12, 61), (12, 60), (12, 59), (12, 58), (12, 57), (11, 57), (11, 56), (11, 55), (10, 55), (10, 54), (10, 53), (10, 52), (10, 51), (10, 50), (10, 49), (10, 48), (10, 47), (9, 47), (8, 47), (8, 46), (8, 45), (8, 44), (8, 43), (8, 42), (8, 41), (8, 40), (8, 39), (8, 38), (7, 38), (7, 37), (7, 36), (6, 36)]"
7,2,100,0.92,1,8726,114,743,0.027815580368041992,"[(76, 79), (76, 78), (76, 77), (76, 76), (76, 75), (76, 74), (76, 73), (76, 72), (75, 72), (74, 72), (73, 72), (73, 71), (73, 70), (73, 69), (73, 68), (73, 67), (73, 66), (72, 66), (72, 65), (72, 64), (72, 63), (72, 62), (72, 61), (72, 60), (71, 60), (71, 59), (71, 58), (71, 57), (71, 56), (71, 55), (71, 54), (70, 54), (70, 53), (70, 52), (70, 51), (70, 50), (70, 49), (70, 48), (70, 47), (70, 46), (70, 45), (70, 44), (70, 43), (70, 42), (70, 41), (69, 41), (68, 41), (67, 41), (66, 41), (65, 41), (64, 41), (63, 41), (62, 41), (61, 41), (60, 41), (59, 41), (58, 41), (57, 41), (57, 40), (57, 39), (56, 39), (55, 39), (54, 39), (53, 39), (52, 39), (51, 39), (50, 39), (49, 39), (48, 39), (47, 39), (46, 39), (45, 39), (44, 39), (43, 39), (42, 39), (41, 39), (40, 39), (39, 39), (38, 39), (37, 39), (37, 38), (36, 38), (35, 38), (34, 38), (33, 38), (32, 38), (31, 38), (30, 38), (29, 38), (28, 38), (27, 38), (26, 38), (25, 38), (24, 38), (24, 37), (24, 36), (23, 36), (22, 36), (21, 36), (20, 36), (19, 36), (18, 36), (17, 36), (16, 36), (15, 36), (14, 36), (13, 36), (12, 36), (11, 36), (10, 36), (9, 36), (8, 36), (7, 36), (6, 36)]"
8,1,100,0.92,1,5084,64,63,0.01858997344970703,"[(81, 44), (80, 44), (79, 44), (78, 44), (77, 44), (76, 44), (75, 44), (74, 44), (73, 44), (72, 44), (71, 44), (70, 44), (69, 44), (68, 44), (67, 44), (66, 44), (65, 44), (64, 44), (64, 43), (63, 43), (62, 43), (61, 43), (60, 43), (59, 43), (58, 43), (58, 42), (58, 41), (57, 41), (56, 41), (55, 41), (54, 41), (53, 41), (53, 40), (53, 39), (53, 38), (53, 37), (53, 36), (53, 35), (53, 34), (53, 33), (53, 32), (53, 31), (53, 30), (53, 29), (53, 28), (53, 27), (53, 26), (53, 25), (53, 24), (53, 23), (53, 22), (53, 21), (53, 20), (53, 19), (52, 19), (52, 18), (52, 17), (52, 16), (52, 15), (52, 14), (52, 13), (51, 13), (51, 12), (51, 11)]"
8,2,100,0.92,1,4543,64,333,0.01728200912475586,"[(81, 44), (81, 43), (81, 42), (81, 41), (81, 40), (81, 39), (81, 38), (81, 37), (81, 36), (81, 35), (81, 34), (80, 34), (80, 33), (80, 32), (80, 31), (80, 30), (80, 29), (80, 28), (80, 27), (80, 26), (80, 25), (80, 24), (80, 23), (80, 22), (80, 21), (80, 20), (80, 19), (80, 18), (80, 17), (80, 16), (79, 16), (78, 16), (78, 15), (77, 15), (77, 14), (77, 13), (77, 12), (77, 11), (76, 11), (75, 11), (74, 11), (73, 11), (72, 11), (71, 11), (70, 11), (69, 11), (68, 11), (67, 11), (66, 11), (65, 11), (64, 11), (63, 11), (62, 11), (61, 11), (60, 11), (59, 11), (58, 11), (57, 11), (56, 11), (55, 11), (54, 11), (53, 11), (52, 11), (51, 11)]"
9,1,100,0.92,1,3098,49,48,0.009858846664428711,"[(77, 24), (76, 24), (75, 24), (74, 24), (73, 24), (72, 24), (72, 25), (72, 26), (71, 26), (70, 26), (69, 26), (68, 26), (67, 26), (67, 27), (67, 28), (67, 29), (67, 30), (66, 30), (66, 31), (66, 32), (66, 33), (66, 34), (65, 34), (65, 35), (65, 36), (65, 37), (65, 38), (65, 39), (65, 40), (64, 40), (64, 41), (64, 42), (64, 43), (63, 43), (63, 44), (63, 45), (63, 46), (63, 47), (63, 48), (63, 49), (63, 50), (63, 51), (63, 52), (63, 53), (63, 54), (63, 55), (63, 56), (63, 57), (63, 58)]"
9,2,100,0.92,1,2643,49,174,0.010416030883789062,"[(77, 24), (77, 25), (77, 26), (77, 27), (76, 27), (76, 28), (76, 29), (76, 30), (76, 31), (76, 32), (76, 33), (76, 34), (76, 35), (76, 36), (75, 36), (75, 37), (75, 38), (75, 39), (75, 40), (75, 41), (75, 42), (75, 43), (75, 44), (75, 45), (75, 46), (75, 47), (75, 48), (75, 49), (75, 50), (75, 51), (75, 52), (75, 53), (74, 53), (74, 54), (74, 55), (74, 56), (74, 57), (74, 58), (73, 58), (72, 58), (71, 58), (70, 58), (69, 58), (68, 58), (67, 58), (66, 58), (65, 58), (64, 58), (63, 58)]"
10,1,100,0.92,1,6662,102,101,0.02499842643737793,"[(78, 95), (78, 94), (78, 93), (78, 92), (78, 91), (78, 90), (78, 89), (78, 88), (78, 87), (78, 86), (78, 85), (78, 84), (78, 83), (78, 82), (78, 81), (78, 80), (78, 79), (78, 78), (78, 77), (78, 76), (78, 75), (78, 74), (78, 73), (78, 72), (78, 71), (78, 70), (78, 69), (78, 68), (78, 67), (78, 66), (78, 65), (78, 64), (78, 63), (78, 62), (78, 61), (78, 60), (78, 59), (79, 59), (79, 58), (79, 57), (79, 56), (80, 56), (80, 55), (80, 54), (80, 53), (80, 52), (80, 51), (80, 50), (81, 50), (82, 50), (82, 49), (82, 48), (81, 48), (81, 47), (81, 46), (81, 45), (81, 44), (81, 43), (81, 42), (81, 41), (81, 40), (82, 40), (83, 40), (83, 39), (83, 38), (83, 37), (83, 36), (83, 35), (83, 34), (83, 33), (83, 32), (83, 31), (83, 30), (83, 29), (83, 28), (83, 27), (83, 26), (83, 25), (84, 25), (84, 24), (84, 23), (84, 22), (84, 21), (84, 20), (84, 19), (84, 18), (84, 17), (84, 16), (84, 15), (84, 14), (84, 13), (84, 12), (84, 11), (84, 10), (84, 9), (84, 8), (84, 7), (84, 6), (85, 6), (86, 6), (87, 6), (88, 6)]"
10,2,100,0.92,1,2994,102,209,0.010382652282714844,"[(78, 95), (78, 94), (78, 93), (78, 92), (78, 91), (78, 90), (78, 89), (78, 88), (78, 87), (78, 86), (78, 85), (78, 84), (78, 83), (78, 82), (78, 81), (78, 80), (78, 79), (78, 78), (78, 77), (78, 76), (78, 75), (78, 74), (78, 73), (78, 72), (78, 71), (78, 70), (78, 69), (78, 68), (78, 67), (78, 66), (78, 65), (78, 64), (78, 63), (78, 62), (78, 61), (78, 60), (78, 59), (79, 59), (79, 58), (79, 57), (79, 56), (80, 56), (80, 55), (80, 54), (80, 53), (80, 52), (80, 51), (80, 50), (81, 50), (82, 50), (82, 49), (82, 48), (82, 47), (82, 46), (82, 45), (81, 45), (81, 44), (81, 43), (81, 42), (81, 41), (81, 40), (82, 40), (83, 40), (83, 39), (83, 38), (83, 37), (83, 36), (83, 35), (83, 34), (83, 33), (83, 32), (83, 31), (83, 30), (83, 29), (83, 28), (83, 27), (83, 26), (83, 25), (84, 25), (84, 24), (84, 23), (84, 22), (84, 21), (84, 20), (84, 19), (84, 18), (84, 17), (84, 16), (84, 15), (84, 14), (84, 13), (84, 12), (84, 11), (84, 10), (84, 9), (84, 8), (84, 7), (84, 6), (85, 6), (86, 6), (87, 6), (88, 6)]"
