Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
12,2,100,0.92,1,150,92,226,0.0002410411834716797,"[(96, 31), (96, 32), (96, 33), (97, 33), (97, 34), (97, 35), (97, 36), (97, 37), (97, 38), (97, 39), (97, 40), (97, 41), (97, 42), (97, 43), (97, 44), (97, 45), (97, 46), (97, 47), (97, 48), (98, 48), (98, 49), (98, 50), (98, 51), (99, 51), (99, 52), (99, 53), (99, 54), (98, 54), (98, 55), (98, 56), (98, 57), (98, 58), (98, 59), (98, 60), (98, 61), (98, 62), (98, 63), (98, 64), (99, 64), (99, 65), (99, 66), (99, 67), (99, 68), (99, 69), (99, 70), (99, 71), (99, 72), (98, 72), (97, 72), (97, 73), (97, 74), (98, 74), (98, 75), (98, 76), (98, 77), (98, 78), (98, 79), (98, 80), (98, 81), (98, 82), (98, 83), (98, 84), (98, 85), (98, 86), (98, 87), (98, 88), (99, 88), (99, 89), (99, 90), (99, 91), (99, 92), (99, 93), (99, 94), (98, 94), (97, 94), (97, 95), (96, 95), (95, 95), (95, 94), (95, 93), (95, 92), (95, 91), (95, 90), (95, 89), (95, 88), (95, 87), (95, 86), (95, 85), (95, 84), (95, 83), (94, 83), (93, 83)]"
13,1,100,0.92,0,3058,0,0,0.0052642822265625,[]
13,2,100,0.92,0,3058,0,0,0.00545954704284668,[]
14,1,100,0.92,0,1481,0,0,0.00396275520324707,[]
14,2,100,0.92,0,1481,0,0,0.0021407604217529297,[]
15,1,100,0.92,0,2039,0,0,0.003042459487915039,[]
15,2,100,0.92,0,2039,0,0,0.004001617431640625,[]
16,1,100,0.92,0,2482,0,0,0.0035037994384765625,[]
16,2,100,0.92,0,2482,0,0,0.006097078323364258,[]
17,1,100,0.92,0,1512,0,0,0.002145528793334961,[]
17,2,100,0.92,0,1512,0,0,0.002138853073120117,[]
18,1,100,0.92,0,1924,0,0,0.002737283706665039,[]
18,2,100,0.92,0,1924,0,0,0.003007650375366211,[]
19,1,100,0.92,0,1884,0,0,0.002620697021484375,[]
19,2,100,0.92,0,1884,0,0,0.002645730972290039,[]
20,1,100,0.92,0,2367,0,0,0.0043027400970458984,[]
20,2,100,0.92,0,2367,0,0,0.0033473968505859375,[]
21,1,100,0.92,0,2629,0,0,0.0037009716033935547,[]
21,2,100,0.92,0,2629,0,0,0.00400543212890625,[]
22,1,100,0.92,0,2163,0,0,0.0030469894409179688,[]
22,2,100,0.92,0,2163,0,0,0.0030584335327148438,[]
23,1,100,0.92,0,1114,0,0,0.0016777515411376953,[]
23,2,100,0.92,0,1114,0,0,0.0018773078918457031,[]
24,1,100,0.92,0,2077,0,0,0.0030095577239990234,[]
24,2,100,0.92,0,2077,0,0,0.0032508373260498047,[]
25,1,100,0.92,0,2096,0,0,0.003170013427734375,[]
25,2,100,0.92,0,2096,0,0,0.0034990310668945312,[]
26,1,100,0.92,0,936,0,0,0.0016696453094482422,[]
26,2,100,0.92,0,936,0,0,0.001402139663696289,[]
27,1,100,0.92,1,2041,99,98,0.0031104087829589844,"[(16, 57), (16, 58), (16, 59), (17, 59), (17, 60), (17, 61), (17, 62), (17, 63), (18, 63), (18, 64), (18, 65), (18, 66), (18, 67), (18, 68), (19, 68), (20, 68), (20, 67), (20, 66), (20, 65), (20, 64), (20, 63), (21, 63), (21, 62), (21, 61), (21, 60), (21, 59), (21, 58), (21, 57), (21, 56), (21, 55), (21, 54), (21, 53), (21, 52), (21, 51), (21, 50), (21, 49), (21, 48), (21, 47), (21, 46), (21, 45), (21, 44), (21, 43), (21, 42), (21, 41), (21, 40), (21, 39), (21, 38), (21, 37), (21, 36), (21, 35), (21, 34), (21, 33), (21, 32), (20, 32), (20, 31), (20, 30), (20, 29), (20, 28), (20, 27), (21, 27), (21, 26), (21, 25), (21, 24), (21, 23), (21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (21, 13), (21, 12), (21, 11), (20, 11), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15), (19, 16), (19, 17), (19, 18), (19, 19), (19, 20), (19, 21), (18, 21), (17, 21), (17, 20), (17, 19), (16, 19), (16, 18), (15, 18), (14, 18), (14, 19), (14, 20), (13, 20)]"
27,2,100,0.92,1,2041,99,233,0.0030317306518554688,"[(16, 57), (16, 58), (16, 59), (17, 59), (17, 60), (17, 61), (17, 62), (17, 63), (18, 63), (18, 64), (18, 65), (18, 66), (18, 67), (18, 68), (19, 68), (20, 68), (20, 67), (20, 66), (20, 65), (20, 64), (20, 63), (21, 63), (21, 62), (21, 61), (21, 60), (21, 59), (21, 58), (21, 57), (21, 56), (21, 55), (21, 54), (21, 53), (21, 52), (21, 51), (21, 50), (21, 49), (21, 48), (21, 47), (21, 46), (21, 45), (21, 44), (21, 43), (21, 42), (21, 41), (21, 40), (21, 39), (21, 38), (21, 37), (21, 36), (21, 35), (21, 34), (21, 33), (21, 32), (20, 32), (20, 31), (20, 30), (20, 29), (20, 28), (20, 27), (21, 27), (21, 26), (21, 25), (21, 24), (21, 23), (21, 22), (21, 21), (21, 20), (21, 19), (21, 18), (21, 17), (21, 16), (21, 15), (21, 14), (21, 13), (21, 12), (21, 11), (20, 11), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15), (19, 16), (19, 17), (19, 18), (19, 19), (19, 20), (19, 21), (18, 21), (17, 21), (17, 20), (17, 19), (16, 19), (16, 18), (15, 18), (14, 18), (14, 19), (14, 20), (13, 20)]"
28,1,100,0.92,0,2160,0,0,0.0032029151916503906,[]
28,2,100,0.92,0,2160,0,0,0.003296375274658203,[]
29,1,100,0.92,0,1524,0,0,0.002466440200805664,[]
29,2,100,0.92,0,1524,0,0,0.0021719932556152344,[]
30,1,100,0.92,0,1555,0,0,0.0022509098052978516,[]
30,2,100,0.92,0,1555,0,0,0.002222776412963867,[]
