Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
1,1,100,0.92,1,251,48,47,0.0003802776336669922,"[(85, 80), (85, 81), (86, 81), (86, 82), (87, 82), (87, 83), (87, 84), (87, 85), (87, 86), (87, 87), (87, 88), (87, 89), (87, 90), (87, 91), (88, 91), (89, 91), (89, 92), (89, 93), (89, 94), (89, 95), (89, 96), (90, 96), (90, 97), (90, 98), (90, 99), (89, 99), (88, 99), (88, 98), (88, 97), (87, 97), (87, 96), (86, 96), (86, 95), (86, 94), (86, 93), (86, 92), (85, 92), (85, 91), (85, 90), (85, 89), (85, 88), (85, 87), (85, 86), (85, 85), (85, 84), (85, 83), (84, 83), (83, 83)]"
1,2,100,0.92,1,251,48,155,0.0005993843078613281,"[(85, 80), (85, 81), (86, 81), (86, 82), (87, 82), (87, 83), (87, 84), (87, 85), (87, 86), (87, 87), (87, 88), (87, 89), (87, 90), (87, 91), (88, 91), (89, 91), (89, 92), (89, 93), (89, 94), (89, 95), (89, 96), (90, 96), (90, 97), (90, 98), (90, 99), (89, 99), (88, 99), (88, 98), (88, 97), (87, 97), (87, 96), (86, 96), (86, 95), (86, 94), (86, 93), (86, 92), (85, 92), (85, 91), (85, 90), (85, 89), (85, 88), (85, 87), (85, 86), (85, 85), (85, 84), (85, 83), (84, 83), (83, 83)]"
2,1,100,0.92,0,646,0,0,0.0009465217590332031,[]
2,2,100,0.92,0,646,0,0,0.0008955001831054688,[]
3,1,100,0.92,0,751,0,0,0.0010733604431152344,[]
3,2,100,0.92,0,751,0,0,0.0011785030364990234,[]
4,1,100,0.92,0,587,0,0,0.0008294582366943359,[]
4,2,100,0.92,0,587,0,0,0.0009441375732421875,[]
5,1,100,0.92,0,947,0,0,0.0012998580932617188,[]
5,2,100,0.92,0,947,0,0,0.0017790794372558594,[]
6,1,100,0.92,0,1398,0,0,0.001947164535522461,[]
6,2,100,0.92,0,1398,0,0,0.0019364356994628906,[]
7,1,100,0.92,0,830,0,0,0.0013990402221679688,[]
7,2,100,0.92,0,830,0,0,0.0016188621520996094,[]
8,1,100,0.92,0,1673,0,0,0.0022974014282226562,[]
8,2,100,0.92,0,1673,0,0,0.0022995471954345703,[]
9,1,100,0.92,1,481,51,50,0.0008280277252197266,"[(77, 24), (77, 25), (77, 26), (77, 27), (78, 27), (78, 28), (78, 29), (78, 30), (78, 31), (78, 32), (78, 33), (78, 34), (78, 35), (78, 36), (78, 37), (78, 38), (77, 38), (76, 38), (75, 38), (75, 39), (74, 39), (74, 40), (73, 40), (73, 41), (72, 41), (72, 42), (71, 42), (71, 43), (70, 43), (70, 44), (70, 45), (70, 46), (69, 46), (69, 47), (68, 47), (68, 48), (67, 48), (67, 49), (67, 50), (67, 51), (67, 52), (67, 53), (67, 54), (67, 55), (67, 56), (67, 57), (66, 57), (65, 57), (64, 57), (64, 58), (63, 58)]"
