Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
6,1,100,0.92,1,3959,52,51,0.008474111557006836,"[(40, 76), (41, 76), (42, 76), (43, 76), (44, 76), (45, 76), (46, 76), (47, 76), (48, 76), (49, 76), (50, 76), (51, 76), (51, 75), (52, 75), (53, 75), (54, 75), (55, 75), (56, 75), (57, 75), (58, 75), (59, 75), (60, 75), (61, 75), (62, 75), (63, 75), (64, 75), (65, 75), (66, 75), (67, 75), (68, 75), (69, 75), (70, 75), (71, 75), (72, 75), (73, 75), (74, 75), (75, 75), (76, 75), (77, 75), (78, 75), (78, 74), (78, 73), (79, 73), (80, 73), (81, 73), (82, 73), (83, 73), (84, 73), (85, 73), (86, 73), (87, 73), (88, 73)]"
6,2,100,0.92,1,3959,52,483,0.008454322814941406,"[(40, 76), (41, 76), (42, 76), (43, 76), (44, 76), (45, 76), (46, 76), (47, 76), (48, 76), (49, 76), (50, 76), (51, 76), (51, 75), (52, 75), (53, 75), (54, 75), (55, 75), (56, 75), (57, 75), (58, 75), (59, 75), (60, 75), (61, 75), (62, 75), (63, 75), (64, 75), (65, 75), (66, 75), (67, 75), (68, 75), (69, 75), (70, 75), (71, 75), (72, 75), (73, 75), (74, 75), (75, 75), (76, 75), (77, 75), (78, 75), (78, 74), (78, 73), (79, 73), (80, 73), (81, 73), (82, 73), (83, 73), (84, 73), (85, 73), (86, 73), (87, 73), (88, 73)]"
7,1,100,0.92,1,8331,114,113,0.0162966251373291,"[(76, 79), (75, 79), (74, 79), (73, 79), (72, 79), (71, 79), (70, 79), (69, 79), (68, 79), (67, 79), (66, 79), (65, 79), (64, 79), (63, 79), (62, 79), (61, 79), (60, 79), (59, 79), (58, 79), (57, 79), (56, 79), (55, 79), (54, 79), (53, 79), (52, 79), (51, 79), (50, 79), (49, 79), (48, 79), (48, 78), (47, 78), (46, 78), (45, 78), (44, 78), (43, 78), (42, 78), (41, 78), (40, 78), (39, 78), (38, 78), (37, 78), (36, 78), (35, 78), (34, 78), (33, 78), (32, 78), (32, 77), (31, 77), (30, 77), (29, 77), (28, 77), (27, 77), (26, 77), (25, 77), (24, 77), (23, 77), (22, 77), (21, 77), (20, 77), (19, 77), (18, 77), (17, 77), (16, 77), (15, 77), (14, 77), (13, 77), (13, 76), (13, 75), (13, 74), (13, 73), (13, 72), (13, 71), (13, 70), (13, 69), (13, 68), (13, 67), (13, 66), (13, 65), (13, 64), (13, 63), (13, 62), (12, 62), (12, 61), (12, 60), (12, 59), (12, 58), (12, 57), (11, 57), (11, 56), (11, 55), (10, 55), (10, 54), (10, 53), (10, 52), (10, 51), (10, 50), (10, 49), (10, 48), (10, 47), (9, 47), (8, 47), (8, 46), (8, 45), (8, 44), (8, 43), (8, 42), (8, 41), (8, 40), (8, 39), (8, 38), (7, 38), (7, 37), (7, 36), (6, 36)]"
7,2,100,0.92,1,8331,114,743,0.018727540969848633,"[(76, 79), (75, 79), (74, 79), (73, 79), (72, 79), (71, 79), (70, 79), (69, 79), (68, 79), (67, 79), (66, 79), (65, 79), (64, 79), (63, 79), (62, 79), (61, 79), (60, 79), (59, 79), (58, 79), (57, 79), (56, 79), (55, 79), (54, 79), (53, 79), (52, 79), (51, 79), (50, 79), (49, 79), (48, 79), (48, 78), (47, 78), (46, 78), (45, 78), (44, 78), (43, 78), (42, 78), (41, 78), (40, 78), (39, 78), (38, 78), (37, 78), (36, 78), (35, 78), (34, 78), (33, 78), (32, 78), (32, 77), (31, 77), (30, 77), (29, 77), (28, 77), (27, 77), (26, 77), (25, 77), (24, 77), (23, 77), (22, 77), (21, 77), (20, 77), (19, 77), (18, 77), (17, 77), (16, 77), (15, 77), (14, 77), (13, 77), (13, 76), (13, 75), (13, 74), (13, 73), (13, 72), (13, 71), (13, 70), (13, 69), (13, 68), (13, 67), (13, 66), (13, 65), (13, 64), (13, 63), (13, 62), (12, 62), (12, 61), (12, 60), (12, 59), (12, 58), (12, 57), (11, 57), (11, 56), (11, 55), (10, 55), (10, 54), (10, 53), (10, 52), (10, 51), (10, 50), (10, 49), (10, 48), (10, 47), (9, 47), (8, 47), (8, 46), (8, 45), (8, 44), (8, 43), (8, 42), (8, 41), (8, 40), (8, 39), (8, 38), (7, 38), (7, 37), (7, 36), (6, 36)]"
8,1,100,0.92,1,5055,64,63,0.010223865509033203,"[(81, 44), (80, 44), (79, 44), (78, 44), (77, 44), (76, 44), (75, 44), (74, 44), (73, 44), (72, 44), (71, 44), (70, 44), (69, 44), (68, 44), (67, 44), (66, 44), (65, 44), (64, 44), (64, 43), (63, 43), (62, 43), (61, 43), (60, 43), (59, 43), (58, 43), (58, 42), (58, 41), (57, 41), (56, 41), (55, 41), (54, 41), (53, 41), (53, 40), (53, 39), (53, 38), (53, 37), (53, 36), (53, 35), (53, 34), (53, 33), (53, 32), (53, 31), (53, 30), (53, 29), (53, 28), (53, 27), (53, 26), (53, 25), (53, 24), (53, 23), (53, 22), (53, 21), (53, 20), (53, 19), (52, 19), (52, 18), (52, 17), (52, 16), (52, 15), (52, 14), (52, 13), (51, 13), (51, 12), (51, 11)]"
8,2,100,0.92,1,5055,64,333,0.012022733688354492,"[(81, 44), (80, 44), (79, 44), (78, 44), (77, 44), (76, 44), (75, 44), (74, 44), (73, 44), (72, 44), (71, 44), (70, 44), (69, 44), (68, 44), (67, 44), (66, 44), (65, 44), (64, 44), (64, 43), (63, 43), (62, 43), (61, 43), (60, 43), (59, 43), (58, 43), (58, 42), (58, 41), (57, 41), (56, 41), (55, 41), (54, 41), (53, 41), (53, 40), (53, 39), (53, 38), (53, 37), (53, 36), (53, 35), (53, 34), (53, 33), (53, 32), (53, 31), (53, 30), (53, 29), (53, 28), (53, 27), (53, 26), (53, 25), (53, 24), (53, 23), (53, 22), (53, 21), (53, 20), (53, 19), (52, 19), (52, 18), (52, 17), (52, 16), (52, 15), (52, 14), (52, 13), (51, 13), (51, 12), (51, 11)]"
9,1,100,0.92,1,3098,49,48,0.0073435306549072266,"[(77, 24), (76, 24), (75, 24), (74, 24), (73, 24), (72, 24), (72, 25), (72, 26), (71, 26), (70, 26), (69, 26), (68, 26), (67, 26), (67, 27), (67, 28), (67, 29), (67, 30), (66, 30), (66, 31), (66, 32), (66, 33), (66, 34), (65, 34), (65, 35), (65, 36), (65, 37), (65, 38), (65, 39), (65, 40), (64, 40), (64, 41), (64, 42), (64, 43), (63, 43), (63, 44), (63, 45), (63, 46), (63, 47), (63, 48), (63, 49), (63, 50), (63, 51), (63, 52), (63, 53), (63, 54), (63, 55), (63, 56), (63, 57), (63, 58)]"
9,2,100,0.92,1,3098,49,174,0.005013227462768555,"[(77, 24), (76, 24), (75, 24), (74, 24), (73, 24), (72, 24), (72, 25), (72, 26), (71, 26), (70, 26), (69, 26), (68, 26), (67, 26), (67, 27), (67, 28), (67, 29), (67, 30), (66, 30), (66, 31), (66, 32), (66, 33), (66, 34), (65, 34), (65, 35), (65, 36), (65, 37), (65, 38), (65, 39), (65, 40), (64, 40), (64, 41), (64, 42), (64, 43), (63, 43), (63, 44), (63, 45), (63, 46), (63, 47), (63, 48), (63, 49), (63, 50), (63, 51), (63, 52), (63, 53), (63, 54), (63, 55), (63, 56), (63, 57), (63, 58)]"
10,1,100,0.92,1,6650,102,101,0.01408839225769043,"[(78, 95), (79, 95), (79, 94), (79, 93), (79, 92), (80, 92), (80, 91), (81, 91), (82, 91), (82, 90), (82, 89), (82, 88), (82, 87), (82, 86), (83, 86), (83, 85), (83, 84), (83, 83), (83, 82), (83, 81), (83, 80), (83, 79), (83, 78), (83, 77), (84, 77), (84, 76), (85, 76), (85, 75), (85, 74), (85, 73), (85, 72), (85, 71), (85, 70), (85, 69), (85, 68), (85, 67), (85, 66), (85, 65), (85, 64), (85, 63), (85, 62), (85, 61), (85, 60), (85, 59), (85, 58), (85, 57), (85, 56), (85, 55), (85, 54), (85, 53), (85, 52), (85, 51), (85, 50), (85, 49), (85, 48), (85, 47), (85, 46), (85, 45), (85, 44), (85, 43), (86, 43), (86, 42), (86, 41), (87, 41), (87, 40), (87, 39), (87, 38), (88, 38), (89, 38), (89, 37), (89, 36), (89, 35), (89, 34), (89, 33), (89, 32), (89, 31), (89, 30), (89, 29), (89, 28), (89, 27), (89, 26), (88, 26), (88, 25), (88, 24), (88, 23), (88, 22), (88, 21), (88, 20), (88, 19), (88, 18), (88, 17), (88, 16), (88, 15), (88, 14), (88, 13), (88, 12), (88, 11), (88, 10), (88, 9), (88, 8), (88, 7), (88, 6)]"
10,2,100,0.92,1,6650,102,209,0.013687372207641602,"[(78, 95), (79, 95), (79, 94), (79, 93), (79, 92), (80, 92), (80, 91), (81, 91), (82, 91), (82, 90), (82, 89), (82, 88), (82, 87), (82, 86), (83, 86), (83, 85), (83, 84), (83, 83), (83, 82), (83, 81), (83, 80), (83, 79), (83, 78), (83, 77), (84, 77), (84, 76), (85, 76), (85, 75), (85, 74), (85, 73), (85, 72), (85, 71), (85, 70), (85, 69), (85, 68), (85, 67), (85, 66), (85, 65), (85, 64), (85, 63), (85, 62), (85, 61), (85, 60), (85, 59), (85, 58), (85, 57), (85, 56), (85, 55), (85, 54), (85, 53), (85, 52), (85, 51), (85, 50), (85, 49), (85, 48), (85, 47), (85, 46), (85, 45), (85, 44), (85, 43), (86, 43), (86, 42), (86, 41), (87, 41), (87, 40), (87, 39), (87, 38), (88, 38), (89, 38), (89, 37), (89, 36), (89, 35), (89, 34), (89, 33), (89, 32), (89, 31), (89, 30), (89, 29), (89, 28), (89, 27), (89, 26), (88, 26), (88, 25), (88, 24), (88, 23), (88, 22), (88, 21), (88, 20), (88, 19), (88, 18), (88, 17), (88, 16), (88, 15), (88, 14), (88, 13), (88, 12), (88, 11), (88, 10), (88, 9), (88, 8), (88, 7), (88, 6)]"
11,1,100,0.92,1,4083,65,64,0.00975179672241211,"[(13, 74), (14, 74), (15, 74), (16, 74), (17, 74), (18, 74), (18, 73), (19, 73), (20, 73), (21, 73), (22, 73), (23, 73), (24, 73), (25, 73), (26, 73), (27, 73), (28, 73), (29, 73), (30, 73), (31, 73), (32, 73), (32, 72), (33, 72), (34, 72), (34, 71), (34, 70), (34, 69), (34, 68), (34, 67), (34, 66), (34, 65), (34, 64), (34, 63), (35, 63), (35, 62), (35, 61), (36, 61), (37, 61), (38, 61), (38, 60), (39, 60), (39, 59), (39, 58), (39, 57), (39, 56), (39, 55), (39, 54), (39, 53), (39, 52), (39, 51), (39, 50), (39, 49), (39, 48), (39, 47), (39, 46), (40, 46), (40, 45), (40, 44), (40, 43), (40, 42), (40, 41), (40, 40), (41, 40), (41, 39), (41, 38)]"
11,2,100,0.92,1,4083,65,316,0.008463859558105469,"[(13, 74), (14, 74), (15, 74), (16, 74), (17, 74), (18, 74), (18, 73), (19, 73), (20, 73), (21, 73), (22, 73), (23, 73), (24, 73), (25, 73), (26, 73), (27, 73), (28, 73), (29, 73), (30, 73), (31, 73), (32, 73), (32, 72), (33, 72), (34, 72), (34, 71), (34, 70), (34, 69), (34, 68), (34, 67), (34, 66), (34, 65), (34, 64), (34, 63), (35, 63), (35, 62), (35, 61), (36, 61), (37, 61), (38, 61), (38, 60), (39, 60), (39, 59), (39, 58), (39, 57), (39, 56), (39, 55), (39, 54), (39, 53), (39, 52), (39, 51), (39, 50), (39, 49), (39, 48), (39, 47), (39, 46), (40, 46), (40, 45), (40, 44), (40, 43), (40, 42), (40, 41), (40, 40), (41, 40), (41, 39), (41, 38)]"
12,1,100,0.92,1,2950,58,57,0.005621433258056641,"[(96, 31), (95, 31), (94, 31), (94, 32), (94, 33), (94, 34), (94, 35), (93, 35), (93, 36), (93, 37), (93, 38), (93, 39), (93, 40), (93, 41), (93, 42), (93, 43), (93, 44), (93, 45), (93, 46), (93, 47), (93, 48), (93, 49), (93, 50), (93, 51), (93, 52), (93, 53), (93, 54), (93, 55), (93, 56), (93, 57), (93, 58), (93, 59), (93, 60), (93, 61), (93, 62), (94, 62), (94, 63), (94, 64), (94, 65), (94, 66), (94, 67), (94, 68), (94, 69), (94, 70), (94, 71), (94, 72), (94, 73), (94, 74), (94, 75), (94, 76), (94, 77), (94, 78), (93, 78), (93, 79), (93, 80), (93, 81), (93, 82), (93, 83)]"
12,2,100,0.92,1,2950,58,102,0.006605386734008789,"[(96, 31), (95, 31), (94, 31), (94, 32), (94, 33), (94, 34), (94, 35), (93, 35), (93, 36), (93, 37), (93, 38), (93, 39), (93, 40), (93, 41), (93, 42), (93, 43), (93, 44), (93, 45), (93, 46), (93, 47), (93, 48), (93, 49), (93, 50), (93, 51), (93, 52), (93, 53), (93, 54), (93, 55), (93, 56), (93, 57), (93, 58), (93, 59), (93, 60), (93, 61), (93, 62), (94, 62), (94, 63), (94, 64), (94, 65), (94, 66), (94, 67), (94, 68), (94, 69), (94, 70), (94, 71), (94, 72), (94, 73), (94, 74), (94, 75), (94, 76), (94, 77), (94, 78), (93, 78), (93, 79), (93, 80), (93, 81), (93, 82), (93, 83)]"
13,1,100,0.92,1,3745,51,50,0.008629798889160156,"[(25, 32), (26, 32), (27, 32), (27, 33), (28, 33), (29, 33), (30, 33), (31, 33), (32, 33), (33, 33), (34, 33), (35, 33), (36, 33), (37, 33), (38, 33), (39, 33), (40, 33), (41, 33), (42, 33), (43, 33), (44, 33), (45, 33), (46, 33), (47, 33), (48, 33), (49, 33), (50, 33), (51, 33), (52, 33), (53, 33), (54, 33), (55, 33), (56, 33), (56, 34), (56, 35), (56, 36), (56, 37), (56, 38), (56, 39), (56, 40), (56, 41), (56, 42), (56, 43), (56, 44), (56, 45), (56, 46), (56, 47), (56, 48), (56, 49), (56, 50), (56, 51)]"
13,2,100,0.92,1,3745,51,329,0.0062046051025390625,"[(25, 32), (26, 32), (27, 32), (27, 33), (28, 33), (29, 33), (30, 33), (31, 33), (32, 33), (33, 33), (34, 33), (35, 33), (36, 33), (37, 33), (38, 33), (39, 33), (40, 33), (41, 33), (42, 33), (43, 33), (44, 33), (45, 33), (46, 33), (47, 33), (48, 33), (49, 33), (50, 33), (51, 33), (52, 33), (53, 33), (54, 33), (55, 33), (56, 33), (56, 34), (56, 35), (56, 36), (56, 37), (56, 38), (56, 39), (56, 40), (56, 41), (56, 42), (56, 43), (56, 44), (56, 45), (56, 46), (56, 47), (56, 48), (56, 49), (56, 50), (56, 51)]"
14,1,100,0.92,1,1597,42,41,0.004284858703613281,"[(4, 76), (4, 77), (5, 77), (6, 77), (7, 77), (8, 77), (9, 77), (10, 77), (11, 77), (12, 77), (13, 77), (14, 77), (15, 77), (16, 77), (17, 77), (17, 78), (18, 78), (19, 78), (20, 78), (21, 78), (22, 78), (23, 78), (24, 78), (25, 78), (26, 78), (27, 78), (28, 78), (29, 78), (30, 78), (30, 79), (31, 79), (32, 79), (33, 79), (34, 79), (35, 79), (36, 79), (37, 79), (38, 79), (39, 79), (40, 79), (41, 79), (42, 79)]"
14,2,100,0.92,1,1597,42,383,0.002833843231201172,"[(4, 76), (4, 77), (5, 77), (6, 77), (7, 77), (8, 77), (9, 77), (10, 77), (11, 77), (12, 77), (13, 77), (14, 77), (15, 77), (16, 77), (17, 77), (17, 78), (18, 78), (19, 78), (20, 78), (21, 78), (22, 78), (23, 78), (24, 78), (25, 78), (26, 78), (27, 78), (28, 78), (29, 78), (30, 78), (30, 79), (31, 79), (32, 79), (33, 79), (34, 79), (35, 79), (36, 79), (37, 79), (38, 79), (39, 79), (40, 79), (41, 79), (42, 79)]"
15,1,100,0.92,1,1041,36,35,0.0017600059509277344,"[(86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (79, 3), (78, 3), (77, 3), (76, 3), (75, 3), (74, 3), (73, 3), (73, 2), (72, 2), (71, 2), (70, 2), (69, 2), (68, 2), (67, 2), (66, 2), (65, 2), (64, 2), (63, 2), (62, 2), (61, 2), (60, 2), (59, 2), (58, 2), (57, 2), (56, 2), (55, 2), (54, 2), (53, 2), (53, 3)]"
