n,algorithm,seed,success,time,nodes,solution
15,backtracking,16,1,0.0003643035888671875,44,"[9, 11, 8, 5, 2, 6, 13, 0, 12, 4, 7, 14, 3, 1, 10]"
15,backtracking,17,1,0.0014476776123046875,140,"[5, 12, 0, 7, 10, 13, 2, 4, 1, 3, 9, 11, 14, 8, 6]"
15,backtracking,18,1,9.202957153320312e-05,18,"[3, 11, 14, 2, 5, 10, 0, 13, 6, 9, 12, 8, 1, 4, 7]"
15,backtracking,19,1,0.008047342300415039,808,"[12, 6, 13, 11, 0, 3, 5, 9, 2, 10, 7, 14, 1, 8, 4]"
15,backtracking,20,1,0.0023539066314697266,230,"[14, 3, 6, 2, 7, 1, 11, 13, 8, 10, 0, 4, 9, 5, 12]"
15,backtracking,21,1,0.0006175041198730469,67,"[7, 1, 14, 9, 6, 0, 2, 4, 12, 10, 13, 3, 5, 11, 8]"
15,backtracking,22,1,0.0006756782531738281,69,"[8, 12, 0, 2, 6, 14, 9, 11, 3, 5, 10, 1, 13, 4, 7]"
15,backtracking,23,1,0.0006802082061767578,75,"[11, 13, 0, 2, 6, 8, 10, 12, 1, 3, 5, 7, 9, 4, 14]"
15,backtracking,24,1,0.0005996227264404297,55,"[10, 1, 13, 8, 5, 3, 14, 9, 4, 12, 7, 2, 11, 6, 0]"
15,backtracking,25,1,0.0006430149078369141,65,"[5, 12, 4, 6, 10, 14, 1, 3, 0, 2, 8, 11, 9, 7, 13]"
15,backtracking,26,1,0.0009107589721679688,94,"[11, 7, 4, 10, 5, 2, 14, 12, 8, 1, 13, 6, 3, 9, 0]"
15,backtracking,27,1,0.0013225078582763672,129,"[2, 13, 8, 0, 5, 10, 6, 1, 12, 7, 3, 14, 11, 9, 4]"
15,backtracking,28,1,0.005002260208129883,461,"[12, 8, 4, 1, 14, 0, 11, 7, 5, 2, 13, 10, 3, 9, 6]"
15,backtracking,29,1,0.0037860870361328125,349,"[2, 6, 8, 3, 0, 13, 5, 1, 12, 10, 7, 14, 4, 11, 9]"
15,forward_checking,0,1,0.0005464553833007812,58,"[5, 14, 12, 3, 6, 4, 13, 11, 0, 2, 7, 9, 1, 8, 10]"
15,forward_checking,1,1,0.00013184547424316406,15,"[10, 4, 2, 5, 12, 1, 7, 13, 6, 14, 9, 0, 3, 8, 11]"
15,forward_checking,2,1,0.0001304149627685547,15,"[10, 7, 1, 12, 9, 2, 14, 5, 11, 0, 6, 3, 13, 8, 4]"
15,forward_checking,3,1,0.0005609989166259766,51,"[8, 12, 9, 0, 3, 7, 11, 2, 14, 1, 10, 5, 13, 6, 4]"
15,forward_checking,4,1,0.005747318267822266,423,"[0, 3, 1, 11, 8, 10, 13, 4, 14, 12, 6, 2, 5, 7, 9]"
15,forward_checking,5,1,0.002165555953979492,198,"[5, 13, 1, 9, 12, 6, 3, 10, 0, 4, 8, 11, 14, 2, 7]"
15,forward_checking,6,1,0.0003528594970703125,34,"[13, 4, 9, 7, 14, 2, 6, 12, 0, 8, 11, 5, 3, 1, 10]"
15,forward_checking,7,1,0.0003440380096435547,33,"[14, 10, 7, 2, 0, 8, 6, 13, 9, 1, 12, 5, 3, 11, 4]"
15,forward_checking,8,1,0.00028586387634277344,28,"[14, 1, 5, 7, 13, 0, 12, 6, 4, 2, 11, 9, 3, 10, 8]"
15,forward_checking,9,1,0.0032835006713867188,305,"[13, 0, 9, 7, 14, 1, 3, 10, 6, 11, 2, 4, 12, 8, 5]"
15,forward_checking,10,1,0.0002295970916748047,23,"[0, 6, 12, 5, 1, 11, 4, 10, 3, 13, 9, 2, 8, 14, 7]"
15,forward_checking,11,1,0.0012674331665039062,117,"[12, 14, 7, 13, 4, 6, 1, 10, 2, 11, 8, 3, 9, 0, 5]"
15,forward_checking,12,1,0.0001399517059326172,15,"[10, 2, 9, 5, 12, 4, 1, 11, 13, 3, 7, 14, 8, 6, 0]"
15,forward_checking,13,1,0.0011920928955078125,109,"[1, 11, 8, 3, 0, 14, 5, 10, 13, 6, 12, 2, 4, 7, 9]"
15,forward_checking,14,1,0.000667572021484375,54,"[11, 5, 12, 4, 0, 14, 9, 6, 1, 3, 7, 13, 10, 8, 2]"
15,forward_checking,15,1,0.0005648136138916016,56,"[13, 2, 4, 1, 7, 10, 12, 0, 8, 3, 14, 6, 11, 9, 5]"
15,forward_checking,16,1,0.00029587745666503906,31,"[9, 11, 8, 5, 2, 6, 13, 0, 12, 4, 7, 14, 3, 1, 10]"
15,forward_checking,17,1,0.000804901123046875,62,"[5, 12, 0, 7, 10, 13, 2, 4, 1, 3, 9, 11, 14, 8, 6]"
15,forward_checking,18,1,0.0001659393310546875,16,"[3, 11, 14, 2, 5, 10, 0, 13, 6, 9, 12, 8, 1, 4, 7]"
15,forward_checking,19,1,0.004201173782348633,271,"[12, 6, 13, 11, 0, 3, 5, 9, 2, 10, 7, 14, 1, 8, 4]"
15,forward_checking,20,1,0.001749277114868164,116,"[14, 3, 6, 2, 7, 1, 11, 13, 8, 10, 0, 4, 9, 5, 12]"
15,forward_checking,21,1,0.0004992485046386719,36,"[7, 1, 14, 9, 6, 0, 2, 4, 12, 10, 13, 3, 5, 11, 8]"
15,forward_checking,22,1,0.0004379749298095703,32,"[8, 12, 0, 2, 6, 14, 9, 11, 3, 5, 10, 1, 13, 4, 7]"
15,forward_checking,23,1,0.0004837512969970703,34,"[11, 13, 0, 2, 6, 8, 10, 12, 1, 3, 5, 7, 9, 4, 14]"
15,forward_checking,24,1,0.00032520294189453125,28,"[10, 1, 13, 8, 5, 3, 14, 9, 4, 12, 7, 2, 11, 6, 0]"
15,forward_checking,25,1,0.0003457069396972656,29,"[5, 12, 4, 6, 10, 14, 1, 3, 0, 2, 8, 11, 9, 7, 13]"
15,forward_checking,26,1,0.0005059242248535156,40,"[11, 7, 4, 10, 5, 2, 14, 12, 8, 1, 13, 6, 3, 9, 0]"
15,forward_checking,27,1,0.0006585121154785156,56,"[2, 13, 8, 0, 5, 10, 6, 1, 12, 7, 3, 14, 11, 9, 4]"
15,forward_checking,28,1,0.0021181106567382812,165,"[12, 8, 4, 1, 14, 0, 11, 7, 5, 2, 13, 10, 3, 9, 6]"
15,forward_checking,29,1,0.0016934871673583984,141,"[2, 6, 8, 3, 0, 13, 5, 1, 12, 10, 7, 14, 4, 11, 9]"
