n,algorithm,seed,success,time,nodes,solution
8,backtracking,7,1,1.1444091796875e-05,8,"[2, 5, 7, 0, 4, 6, 1, 3]"
8,backtracking,8,1,8.320808410644531e-05,25,"[0, 6, 3, 5, 7, 1, 4, 2]"
8,backtracking,9,1,2.9087066650390625e-05,13,"[7, 1, 3, 0, 6, 4, 2, 5]"
8,backtracking,10,1,1.7881393432617188e-05,10,"[2, 7, 3, 6, 0, 5, 1, 4]"
8,backtracking,11,1,0.0001087188720703125,34,"[3, 0, 4, 7, 1, 6, 2, 5]"
8,backtracking,12,1,7.557868957519531e-05,26,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,backtracking,13,1,4.887580871582031e-05,19,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,backtracking,14,1,1.6689300537109375e-05,9,"[4, 1, 3, 5, 7, 2, 0, 6]"
8,backtracking,15,1,0.00011372566223144531,37,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,backtracking,16,1,1.0967254638671875e-05,8,"[3, 6, 4, 1, 5, 0, 2, 7]"
8,backtracking,17,1,7.2479248046875e-05,25,"[2, 0, 6, 4, 7, 1, 3, 5]"
8,backtracking,18,1,0.00010347366333007812,33,"[5, 1, 6, 0, 3, 7, 4, 2]"
8,backtracking,19,1,3.8623809814453125e-05,16,"[7, 1, 4, 2, 0, 6, 3, 5]"
8,backtracking,20,1,4.982948303222656e-05,19,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,backtracking,21,1,0.00010704994201660156,35,"[2, 7, 3, 6, 0, 5, 1, 4]"
8,backtracking,22,1,9.775161743164062e-05,32,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,backtracking,23,1,4.935264587402344e-05,19,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,backtracking,24,1,4.744529724121094e-05,17,"[1, 5, 0, 6, 3, 7, 2, 4]"
8,backtracking,25,1,5.435943603515625e-05,19,"[5, 7, 1, 3, 0, 6, 4, 2]"
8,backtracking,26,1,8.940696716308594e-05,31,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,backtracking,27,1,2.2172927856445312e-05,10,"[3, 7, 0, 4, 6, 1, 5, 2]"
8,backtracking,28,1,6.461143493652344e-05,23,"[0, 6, 4, 7, 1, 3, 5, 2]"
8,backtracking,29,1,1.5735626220703125e-05,8,"[5, 3, 0, 4, 7, 1, 6, 2]"
8,forward_checking,0,1,8.654594421386719e-05,14,"[3, 0, 4, 7, 5, 2, 6, 1]"
8,forward_checking,1,1,0.00014019012451171875,25,"[6, 3, 1, 4, 7, 0, 2, 5]"
