n,algorithm,success_pct,time_mean,time_std,nodes_mean,nodes_std
4,backtracking,100.0,8.27312469482422e-06,4.464861363411564e-06,7.2,3.044497580429549
4,forward_checking,100.0,1.5115737915039062e-05,6.1121419259110575e-06,5.6,1.5222487902147745
8,backtracking,100.0,7.794698079427083e-05,8.050977226065553e-05,27.166666666666668,25.41935636795156
8,forward_checking,100.0,9.226004282633463e-05,8.021502063920854e-05,16.366666666666667,12.075861740745841
10,backtracking,100.0,0.0003122091293334961,0.0003449516161418051,66.86666666666666,65.45529315722946
10,forward_checking,100.0,0.00024650891621907554,0.00022849560366863814,34.8,30.805731665524128
12,backtracking,100.0,0.0005773703257242838,0.0005776254555632399,86.66666666666667,80.52086186450254
12,forward_checking,100.0,0.0003777583440144857,0.0003188915928631582,43.93333333333333,35.47892364472893
15,backtracking,100.0,0.001979215939839681,0.002397831283500821,195.16666666666666,234.1464444984471
15,forward_checking,100.0,0.0010631799697875977,0.001311039396265436,86.36666666666666,97.92730707654718
