size,dirt_rate,run,performance,total_actions,execution_time,successful_actions,success_rate,agent_class,strategy,seed
4x4,0.2,8,3,165,1.9483716487884521,165,1.0,RandomAgent,Elige acciones al azar,12350
4x4,0.2,9,3,165,1.9615507125854492,165,1.0,RandomAgent,Elige acciones al azar,12350
4x4,0.2,10,3,165,1.9467129707336426,165,1.0,RandomAgent,Elige acciones al azar,12350
4x4,0.4,1,6,298,3.480773448944092,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,2,6,298,3.571465492248535,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,3,6,298,3.4844539165496826,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,4,6,298,3.4467806816101074,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,5,6,298,3.5277373790740967,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,6,6,298,3.4886326789855957,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,7,6,298,3.497086524963379,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,8,6,298,3.453958511352539,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,9,6,298,3.5024573802948,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.4,10,6,298,3.4757015705108643,298,1.0,RandomAgent,Elige acciones al azar,12351
4x4,0.8,1,12,302,3.5038230419158936,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,2,12,302,3.619852066040039,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,3,12,302,3.480989933013916,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,4,12,302,3.4960830211639404,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,5,12,302,3.356435775756836,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,6,12,302,3.4582366943359375,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,7,12,302,3.526484489440918,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,8,12,302,3.4735965728759766,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,9,12,302,3.554927110671997,302,1.0,RandomAgent,Elige acciones al azar,12352
4x4,0.8,10,12,302,3.4902195930480957,302,1.0,RandomAgent,Elige acciones al azar,12352
8x8,0.1,1,4,1000,11.637077331542969,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,2,4,1000,11.803557872772217,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,3,4,1000,11.602955102920532,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,4,4,1000,11.295718431472778,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,5,4,1000,11.497042655944824,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,6,4,1000,11.687400341033936,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,7,4,1000,11.573425054550171,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,8,4,1000,12.176032543182373,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,9,4,1000,11.760321855545044,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.1,10,4,1000,12.39004373550415,1000,1.0,RandomAgent,Elige acciones al azar,12353
8x8,0.2,1,11,1000,11.632333993911743,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,2,11,1000,12.297966480255127,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,3,11,1000,15.162065029144287,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,4,11,1000,13.330678939819336,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,5,11,1000,14.62474012374878,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,6,11,1000,15.880988836288452,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,7,11,1000,15.178595066070557,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,8,11,1000,11.472293138504028,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,9,11,1000,13.822048664093018,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.2,10,11,1000,14.748574495315552,1000,1.0,RandomAgent,Elige acciones al azar,12354
8x8,0.4,1,22,1000,14.274911880493164,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,2,22,1000,15.434375047683716,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,3,22,1000,16.987430810928345,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,4,22,1000,15.143298625946045,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,5,22,1000,15.159792423248291,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,6,22,1000,13.156192541122437,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,7,22,1000,16.17498469352722,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,8,22,1000,14.281861066818237,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,9,22,1000,12.661216259002686,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.4,10,22,1000,13.563061475753784,1000,1.0,RandomAgent,Elige acciones al azar,12355
8x8,0.8,1,36,1000,18.288034439086914,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,2,36,1000,16.199430227279663,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,3,36,1000,16.46773862838745,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,4,36,1000,15.90927267074585,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,5,36,1000,16.24268078804016,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,6,36,1000,12.946531772613525,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,7,36,1000,14.233300685882568,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,8,36,1000,14.899123907089233,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,9,36,1000,14.177744626998901,1000,1.0,RandomAgent,Elige acciones al azar,12356
8x8,0.8,10,36,1000,13.01736068725586,1000,1.0,RandomAgent,Elige acciones al azar,12356
16x16,0.1,1,9,1000,13.064128637313843,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,2,9,1000,15.088059663772583,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,3,9,1000,15.447340965270996,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,4,9,1000,15.986152648925781,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,5,9,1000,15.950143337249756,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,6,9,1000,17.53681516647339,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,7,9,1000,12.51303744316101,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,8,9,1000,12.048450946807861,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,9,9,1000,15.662101984024048,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.1,10,9,1000,16.951570749282837,1000,1.0,RandomAgent,Elige acciones al azar,12357
16x16,0.2,1,17,1000,15.999603986740112,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,2,17,1000,16.324756622314453,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,3,17,1000,16.257213592529297,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,4,17,1000,13.366878271102905,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,5,17,1000,14.983130693435669,1000,1.0,RandomAgent,Elige acciones al azar,12358
